,Topic,Relevant,Count,Name,Representation,Representative_Docs
0,-1,1,4416,-1_gaza_to_israel_of,"['gaza', 'to', 'israel', 'of', 'in', 'hamas', 'for', 'on', 'israeli', 'says']","['Turkish foreign minister to meet US Secretary of State Blinken for talks', ""Israel Gaza: What Gaza's death toll says about the war"", 'Hamas chief in Egypt for talks on Gaza truce and hostage release']"
1,0,0,1528,0_ukraine_russia_russian_ukrainian,"['ukraine', 'russia', 'russian', 'ukrainian', 'russias', 'kyiv', 'ukraines', 'war', 'putin', 'nato']","['Russian drones hit Black Sea coast while Ukraine targets air base in Russia', 'Russia-Ukraine war: drones hit Russian oil facility more than 130 miles from Ukraine - as it happened', 'Ukraine says it shot down Russian fighter jets and drones']"
2,1,0,808,1_sea_red_houthi_yemen,"['sea', 'red', 'houthi', 'yemen', 'houthis', 'us', 'yemens', 'ships', 'ship', 'rebels']","[""Yemen's Houthi rebels hijack cargo ship in Red Sea"", 'US strikes Yemen after Houthis threaten Red Sea ships', 'US strikes Houthi anti-ship missile in Red Sea']"
3,2,1,551,2_hospital_alshifa_hospitals_gazas,"['hospital', 'alshifa', 'hospitals', 'gazas', 'gaza', 'health', 'israeli', 'patients', 'medical', 'forces']","['Israeli forces raid Gaza’s largest hospital in operation against Hamas', 'Israeli military forces raid Gaza’s largest hospital in operation against Hamas', ""Israeli military forces raid Gaza's largest hospital in operation against Hamas""]"
4,3,1,531,3_genocide_case_icj_court,"['genocide', 'case', 'icj', 'court', 'south', 'against', 'crimes', 'africas', 'israel', 'ruling']","[""South Africa's genocide case against Israel begins at International Court of Justice"", ""Iraq backs South Africa's ICJ genocide case against Israel over Gaza war"", 'South Africa’s Genocide Case Against Israel at the ICJ']"
5,4,1,491,4_hostages_hostage_hamas_release,"['hostages', 'hostage', 'hamas', 'release', 'released', 'israeli', 'deal', 'families', 'israelhamas', 'ceasefire']","['Israeli military says it mistakenly killed 3 Israeli hostages in Gaza', 'Israeli military says it mistakenly killed 3 Israeli hostages in Gaza', 'Hamas claims 3 Israeli hostages killed in Gaza strike']"
6,5,0,428,5_hezbollah_lebanon_border_israeli,"['hezbollah', 'lebanon', 'border', 'israeli', 'southern', 'lebanese', 'beirut', 'strike', 'israel', 'clashes']","['Israeli strike kills Hezbollah commander in Lebanon', 'Senior Hezbollah leader killed in Israeli strike in southern Lebanon', 'Hezbollah commander killed in Israeli strike in southern Lebanon']"
7,6,1,389,6_gaza_un_war_humanitarian,"['gaza', 'un', 'war', 'humanitarian', 'of', 'israels', 'situation', 'in', 'chief', 'israel']","['Israel Gaza war: UN says no let-up in Israeli air strikes in Gaza', 'UN human rights chief warns of ‘apocalyptic’ crisis in Gaza as fighting intensifies', ""UN aid agency chief in Gaza visit says situation 'hell on earth'""]"
8,7,0,383,7_trump_the_2023_2024,"['trump', 'the', '2023', '2024', 'you', 'trial', 'playbook', 'year', 'know', 'things']","[""The second trial between Donald Trump and E. Jean Carroll began Tuesday. Here's what to know."", ""The second trial between Donald Trump and E. Jean Carroll began Tuesday. Here's what to know."", ""The second trial between Donald Trump and E. Jean Carroll began Tuesday. Here's what to know.""]"
9,8,0,376,8_vs_bowl_football_college,"['vs', 'bowl', 'football', 'college', 'score', 'final', 'picks', 'nfl', 'odds', 'game']","['College football odds, picks, predictions for 2023-24 bowl season: Computer simulation backs Oregon Ducks', 'College Football Picks: College Football Bowl Game Picks, Part 1', 'Air Force vs. James Madison odds: 2023 Armed Forces Bowl picks, college football predictions from proven model']"
